start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1429.4815,1429.4882,41796.0,73669.0,Echolocation,Pipistrellus nathusii,0.376,0.536,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1431.7125,1431.7187,41796.0,53825.0,Echolocation,Pipistrellus nathusii,0.435,0.526,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1431.9025,1431.9101,42656.0,59719.0,Echolocation,Pipistrellus nathusii,0.256,0.572,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1443.1575,1443.1639,39218.0,63217.0,Echolocation,Pipistrellus nathusii,0.479,0.554,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1443.2535,1443.2602,38359.0,68717.0,Echolocation,Pipistrellus nathusii,0.293,0.501,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1444.0085,1444.0141,40078.0,56763.0,Echolocation,Pipistrellus nathusii,0.199,0.521,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1444.1705,1444.1774,43515.0,62233.0,Echolocation,Pipistrellus pipistrellus,0.286,0.653,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1497.1485,1497.1627,23750.0,29948.0,Echolocation,Nyctalus leisleri,0.306,0.553,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1703.5025,1703.5082,46093.0,53698.0,Echolocation,Pipistrellus pipistrellus,0.548,0.566,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1703.8805,1703.8872,46093.0,59130.0,Echolocation,Pipistrellus pipistrellus,0.518,0.581,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1703.9745,1703.9799,45234.0,57245.0,Echolocation,Pipistrellus pipistrellus,0.469,0.58,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
