Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	98.39353333333334	71250.0	71040.0	0.6771537265681266	98.3915	98.4308	68437	81853	Rhinolophus ferrumequinum	0.031	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	93	Waveform 1	1
HF	98.74563333333332	50250.0	47040.0	1.510611053046541	98.7415	98.7472	36640	62112	Myotis brandtii	0.006	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	94	Waveform 1	1
HF	99.48256666666668	48750.0	48960.0	1.6416312669316686	99.4795	99.4851	34921	67484	Myotis mystacinus	0.01	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	95	Waveform 1	1
HF	99.52906666666668	46500.0	45120.0	1.6910851188838305	99.5265	99.5326	35781	62863	Myotis mystacinus	0.012	0.037	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	96	Waveform 1	1
HF	99.59976666666668	76500.0	75840.0	-0.0438035437709302	99.5925	99.6254	68437	79592	Rhinolophus ferrumequinum	0.025	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	97	Waveform 1	1
HF	99.6002	51750.0	49920.0	1.4761111983651352	99.5985	99.6043	35781	68066	Myotis mystacinus	0.015	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	98	Waveform 1	1
HF	99.6987	54000.0	55679.99999999999	1.13375208813591	99.6965	99.7018	34921	70756	Myotis mystacinus	0.014	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	99	Waveform 1	1
HF	111.55076666666666	52500.0	47040.0	2.023279192882085	111.5475	111.5529	34062	68173	Myotis brandtii	0.008	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	100	Waveform 1	1
HF	121.7867	51750.0	51840.0	2.638231626497471	121.7845	121.7898	34921	68167	Myotis bechsteinii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	101	Waveform 1	1
HF	122.15053333333331	55500.0	54719.99999999999	3.2008773366955348	122.1445	122.1518	54687	64985	Pipistrellus pygmaeus	0.08	0.082	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	102	Waveform 1	1
HF	122.1519	49500.0	49920.0	1.6544693355966602	122.1495	122.1546	35781	66854	Myotis mystacinus	0.013	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	103	Waveform 1	1
HF	122.43606666666666	62250.0	61440.0	-0.1734619520493892	122.4345	122.4416	58125	66568	Pipistrellus pygmaeus	0.035	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	104	Waveform 1	1
